주택건설실적통계(준공)(Statistics on Housing Construction(completion)) / 주택규모별 주택건설 준공실적(월계) (201007 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:02,,,,,,,
,검색기간  : 201501 ~ 201901,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구  분,규모별,사용검사실적,,,,
2015-02,전남,135㎡초과,139,,,,
2015-02,경북,계,"2,654",,,,
2015-02,경북,40㎡이하,5,,,,
2015-02,경북,40~60㎡이하,20,,,,
2015-02,경북,60~85㎡이하,"1,890",,,,
2015-02,경북,85~135㎡이하,365,,,,
2015-02,경북,135㎡초과,374,,,,
2015-02,경남,계,"1,282",,,,
2015-02,경남,40㎡이하,13,,,,
2015-02,경남,40~60㎡이하,470,,,,
2015-02,경남,60~85㎡이하,269,,,,
2015-02,경남,85~135㎡이하,287,,,,
2015-02,경남,135㎡초과,243,,,,
2015-02,제주,계,630,,,,
2015-02,제주,40㎡이하,10,,,,
2015-02,제주,40~60㎡이하,13,,,,
2015-02,제주,60~85㎡이하,318,,,,
2015-02,제주,85~135㎡이하,192,,,,
2015-02,제주,135㎡초과,97,,,,
2015-02,세종,계,"1,364",,,,
2015-02,세종,40㎡이하,180,,,,
2015-02,세종,40~60㎡이하,1,,,,
2015-02,세종,60~85㎡이하,498,,,,
2015-02,세종,85~135㎡이하,656,,,,
2015-02,세종,135㎡초과,29,,,,
2015-03,총계,계,"29,804",,,,
2015-03,총계,40㎡이하,"2,780",,,,
2015-03,총계,40~60㎡이하,"8,662",,,,
2015-03,총계,60~85㎡이하,"12,929",,,,
2015-03,총계,85~135㎡이하,"2,868",,,,
2015-03,총계,135㎡초과,"2,565",,,,
2015-03,수도권소계,계,"10,002",,,,
2015-03,수도권소계,40㎡이하,"2,189",,,,
2015-03,수도권소계,40~60㎡이하,"3,579",,,,
2015-03,수도권소계,60~85㎡이하,"3,031",,,,
2015-03,수도권소계,85~135㎡이하,483,,,,
2015-03,수도권소계,135㎡초과,720,,,,
2015-03,서울,계,"3,981",,,,
2015-03,서울,40㎡이하,708,,,,
2015-03,서울,40~60㎡이하,"1,751",,,,
2015-03,서울,60~85㎡이하,"1,076",,,,
2015-03,서울,85~135㎡이하,123,,,,
2015-03,서울,135㎡초과,323,,,,
2015-03,인천,계,954,,,,
2015-03,인천,40㎡이하,11,,,,
2015-03,인천,40~60㎡이하,317,,,,
2015-03,인천,60~85㎡이하,509,,,,
2015-03,인천,85~135㎡이하,88,,,,
2015-03,인천,135㎡초과,29,,,,
2015-03,경기,계,"5,067",,,,
2015-03,경기,40㎡이하,"1,470",,,,
2015-03,경기,40~60㎡이하,"1,511",,,,
2015-03,경기,60~85㎡이하,"1,446",,,,
2015-03,경기,85~135㎡이하,272,,,,
2015-03,경기,135㎡초과,368,,,,
2015-03,지방소계,계,"19,802",,,,
2015-03,지방소계,40㎡이하,591,,,,
2015-03,지방소계,40~60㎡이하,"5,083",,,,
2015-03,지방소계,60~85㎡이하,"9,898",,,,
2015-03,지방소계,85~135㎡이하,"2,385",,,,
2015-03,지방소계,135㎡초과,"1,845",,,,
2015-03,기타광역시,계,"7,682",,,,
2015-03,기타광역시,40㎡이하,316,,,,
2015-03,기타광역시,40~60㎡이하,"2,283",,,,
2015-03,기타광역시,60~85㎡이하,"3,941",,,,
2015-03,기타광역시,85~135㎡이하,452,,,,
2015-03,기타광역시,135㎡초과,690,,,,
2015-03,부산,계,"2,493",,,,
2015-03,부산,40㎡이하,287,,,,
2015-03,부산,40~60㎡이하,656,,,,
2015-03,부산,60~85㎡이하,"1,239",,,,
2015-03,부산,85~135㎡이하,160,,,,
2015-03,부산,135㎡초과,151,,,,
2015-03,대구,계,"2,801",,,,
2015-03,대구,40㎡이하,25,,,,
2015-03,대구,40~60㎡이하,"1,174",,,,
2015-03,대구,60~85㎡이하,"1,358",,,,
2015-03,대구,85~135㎡이하,85,,,,
2015-03,대구,135㎡초과,159,,,,
2015-03,광주,계,900,,,,
2015-03,광주,40㎡이하,2,,,,
2015-03,광주,40~60㎡이하,447,,,,
2015-03,광주,60~85㎡이하,294,,,,
2015-03,광주,85~135㎡이하,10,,,,
2015-03,광주,135㎡초과,147,,,,
2015-03,대전,계,124,,,,
2015-03,대전,40㎡이하,1,,,,
2015-03,대전,40~60㎡이하,,,,,
2015-03,대전,60~85㎡이하,39,,,,
2015-03,대전,85~135㎡이하,23,,,,
2015-03,대전,135㎡초과,61,,,,
2015-03,울산,계,"1,364",,,,
2015-03,울산,40㎡이하,1,,,,
2015-03,울산,40~60㎡이하,6,,,,
2015-03,울산,60~85㎡이하,"1,011",,,,
2015-03,울산,85~135㎡이하,174,,,,
2015-03,울산,135㎡초과,172,,,,
2015-03,기타지방,계,"12,120",,,,
2015-03,기타지방,40㎡이하,275,,,,
2015-03,기타지방,40~60㎡이하,"2,800",,,,
2015-03,기타지방,60~85㎡이하,"5,957",,,,
2015-03,기타지방,85~135㎡이하,"1,933",,,,
2015-03,기타지방,135㎡초과,"1,155",,,,
2015-03,강원,계,257,,,,
2015-03,강원,40㎡이하,48,,,,
2015-03,강원,40~60㎡이하,18,,,,
2015-03,강원,60~85㎡이하,57,,,,
2015-03,강원,85~135㎡이하,70,,,,
2015-03,강원,135㎡초과,64,,,,
2015-03,충북,계,"1,291",,,,
2015-03,충북,40㎡이하,44,,,,
2015-03,충북,40~60㎡이하,141,,,,
2015-03,충북,60~85㎡이하,490,,,,
2015-03,충북,85~135㎡이하,537,,,,
2015-03,충북,135㎡초과,79,,,,
2015-03,충남,계,"1,576",,,,
2015-03,충남,40㎡이하,37,,,,
2015-03,충남,40~60㎡이하,611,,,,
2015-03,충남,60~85㎡이하,599,,,,
2015-03,충남,85~135㎡이하,216,,,,
2015-03,충남,135㎡초과,113,,,,
2015-03,전북,계,960,,,,
2015-03,전북,40㎡이하,3,,,,
2015-03,전북,40~60㎡이하,219,,,,
2015-03,전북,60~85㎡이하,537,,,,
2015-03,전북,85~135㎡이하,80,,,,
2015-03,전북,135㎡초과,121,,,,
2015-03,전남,계,"1,476",,,,
2015-03,전남,40㎡이하,45,,,,
2015-03,전남,40~60㎡이하,25,,,,
2015-03,전남,60~85㎡이하,"1,170",,,,
2015-03,전남,85~135㎡이하,165,,,,
2015-03,전남,135㎡초과,71,,,,
2015-03,경북,계,"2,988",,,,
2015-03,경북,40㎡이하,57,,,,
2015-03,경북,40~60㎡이하,626,,,,
2015-03,경북,60~85㎡이하,"1,581",,,,
2015-03,경북,85~135㎡이하,421,,,,
2015-03,경북,135㎡초과,303,,,,
2015-03,경남,계,"2,580",,,,
2015-03,경남,40㎡이하,12,,,,
